"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","3436","0","1","0.000000","0","0"
"","0","1","0","1","0.000000","39","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","0.000000","0","32"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","0.000000","0","32"
"/InterchangeAssets/gltf/M_Default.M_Default","0","118","136","6","0.000000","0","136"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","118","136","6","0.000000","0","136"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","110","120","6","0.000000","0","120"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","36","36","2","0.000000","0","36"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","90","100","6","0.000000","0","100"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","110","120","6","0.000000","0","120"
"/Game/Models/Miles/2ndWave/Materials/JumpingPlatform1/JP1.JP1","0","3","3","1","3.967975","0","3"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","14","14","2","16.281677","41","152"
"/Engine/EditorShellMaterials/M_ShellMaster.M_ShellMaster","0","6","6","2","10.226440","0","6"
"/Game/Vefects/Free_Fire/Shared/Materials/M_VFX_Erosion.M_VFX_Erosion","0","26","26","2","38.066227","0","26"
"/Game/Models/Miles/2ndWave/Materials/MortarANDPestle/MAP.MAP","0","3","3","1","0.000000","0","3"
"/Game/Models/Miles/Texture/Wall/M_Wall3.M_Wall3","0","3","3","1","0.000000","0","3"
"/Game/Models/Miles/Texture/Wall/M_Wall2.M_Wall2","0","3","3","1","0.000000","0","3"
"/Game/Models/Miles/Texture/Pillers/M_Pillar1.M_Pillar1","0","3","3","1","0.000000","0","3"
"/Game/Models/Miles/2ndWave/Materials/JumpingPlatform2/JP2.JP2","0","3","3","1","0.000000","0","3"
"/Game/Models/Miles/2ndWave/Materials/Stool/Stool.Stool","0","3","3","1","0.000000","0","3"
"/Game/Models/Miles/2ndWave/Materials/Scroll1/Scroll1.Scroll1","0","3","3","1","0.000000","0","3"
"/Game/Models/Miles/2ndWave/Materials/Vase1/Vase1.Vase1","0","3","3","1","0.000000","0","3"
"/Game/Models/Miles/2ndWave/Materials/Table/Table.Table","0","3","3","1","0.000000","0","3"
"/Game/Models/Miles/2ndWave/Materials/Chair/Chair.Chair","0","3","3","1","0.000000","0","3"
"/Game/Models/Miles/Texture/Anker/M_Anhk.M_Anhk","0","3","3","1","0.000000","0","3"
"/Game/Models/Miles/2ndWave/Materials/Vase3/Vase3.Vase3","0","3","3","1","0.000000","0","3"
"/Game/Models/Miles/2ndWave/Materials/Vase2/Vase2.Vase2","0","3","3","1","0.000000","0","3"
"/Game/Models/Miles/2ndWave/Materials/Scroll2/Scroll2.Scroll2","0","3","3","1","0.000000","0","3"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","3","3","1","0.000000","3","9"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","35.340057","0","55"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","2","2","1","2.610393","0","2"
"/Game/Lasers(LIghtPuzzle)/Materials/M_BaseColor2.M_BaseColor2","0","3","3","1","2.279622","0","3"
"/Game/LevelOnePuzzles/PaintingPuzzle/Puzzles/Placeholders/M_ImagePlaceHolder.M_ImagePlaceHolder","0","3","3","1","9.288829","0","3"
"/Game/LevelOnePuzzles/PressurePlate/openPBR_shader31.openPBR_shader31","0","3","3","1","8.023308","0","3"
